	NPM1	SUZ12
BA2376	217.837552447061	1.8481022387432773
BA2377	1620.696566978597	3.499672511363763
BA2379	326.9421995923817	1.7563167005469678
BA2385	628.0703635992583	1.3253807610922073
BA2386	1105.0537048660103	1.9064378198872491
BA2387	735.7457824756591	2.2161895189155394
BA2394	656.9536912697255	3.775015455102856
BA2399	863.6350532498634	1.919312968531149
BA2400	2251.1756771923	5.216089126781342
BA2402	1132.8083556874635	3.384432984271428
BA2405	819.4816206555411	1.4194167800483262
BA2406	455.82191344869887	1.6091346371686976
BA2409	384.3329069019392	2.293717545528442
BA2410	1750.142878574093	2.148397005330327
BA2412	147.10920649053665	0.918802287118866
BA2413	924.3690286900533	1.5253153129968469
BA2414	1174.7778707298746	3.89831987960464
BA2415	352.56962425058254	1.375119090165481
BA2417	667.7037800050819	1.5367927949051934
BA2418	445.7194689069452	1.2117671823646836
BA2420	675.3308830557313	2.0249346143055718
BA2421	651.5041767354861	2.4075440309426326
BA2423	454.13566416365273	0.880508194597254
BA2425	500.2002133778794	2.4400687844195703
BA2426	661.9735664974564	1.5507768986686328
BA2427	539.9111996626607	0.5882059299446201
BA2429	600.1961675721845	2.189553667892948
BA2440	864.1078835422782	3.063282791712798
BA2441	425.5303468620424	4.370306406949998
BA2442	878.4137108343198	2.918529321055335
BA2446	509.50240199592383	2.0203920329115617
BA2449	1679.51772423058	2.3754634967847417
BA2450	609.4299564675608	2.3408973702466938
BA2452	1162.0438778550847	3.5905423523982587
BA2454	745.3580045356989	3.2890122726673425
BA2455	390.7647405569341	1.2358041060415323
BA2456	397.9003733707434	1.090367227326382
BA2459	1215.4964029582056	1.998842377952892
BA2461	436.4138683457943	2.5939641461163143
BA2463	359.6115960903247	0.5689929353149397
BA2464	1015.2788934029636	2.475301331118999
BA2469	387.8750166642339	2.3819216418748868
BA2470	457.57169279964535	2.3809738027930947
BA2472	447.3715749201252	1.3123016570263857
BA2473	894.9562600620617	2.755603559036205
BA2474	575.5878617828162	1.2611914796965875
BA2477	1491.0319350730088	4.934901512288668
BA2479	399.7088210155857	1.1078452583543263
BA2480	478.9776202122426	1.821158355611772
BA2481	351.52108940030377	1.3358563546835416
BA2482	805.4864506668396	2.783642057001445
BA2483	685.8239964103647	3.16764368549378
BA2485	622.211135514145	1.7379606211963126
BA2488	454.2514129053882	2.338087128379935
BA2489	831.7894227390433	1.2645660809915578
BA2492	304.75228457592027	1.3425124397520398
BA2494	744.4210554014824	1.841131074785678
BA2496	350.10427595863274	1.2703317301120385
BA2497	459.164025176103	1.8475301340392984
BA2499	1215.8143966493133	1.6616298015397264
BA2500	514.1612743016699	3.4173566380922566
BA2501	829.0114015472194	3.615923892055416
BA2502	475.9212578590853	2.320614857605067
BA2505	917.3075047384268	1.6951117236603537
BA2507	549.1035245192646	1.9083458329200016
BA2510	819.3453807176026	1.7606613826022828
BA2511	310.38045202376514	0.825448589985297
BA2512	297.4810904058342	2.388967697565373
BA2514	722.3955446623094	2.1217883640428004
BA2515	611.7897475091498	1.5700521580175193
BA2520	563.2975840780205	1.451049520127221
BA2521	805.7008130956823	2.9275973125167254
BA2523	875.4790358260757	2.927206237822633
BA2524	931.078368926948	1.0405124488537365
BA2525	451.6653062218546	1.0965176083677777
BA2526	990.3383096222774	1.9118790748170709
BA2528	1094.8701903696135	3.0630976695980467
BA2532	503.22428308113984	2.4541747713501083
BA2534	848.5101283619045	2.8872820975991784
BA2538	628.4832761910941	2.325174088358405
BA2539	539.9096717916279	3.148075893779765
BA2540	589.9655471977597	0.918974679037293
BA2541	727.72020609319	1.8302287745129848
BA2545	647.2364441660316	3.234329178030815
BA2546	415.4442953177963	1.933937550868748
BA2552	1511.0459870686627	14.223631996410283
BA2559	917.200021186418	2.0044994133695067
BA2561	738.135338339361	1.4902745245312632
BA2563	884.8698027592621	2.9208440272848986
BA2564	628.5977134454555	2.1882096465844056
BA2567	277.10499196656883	1.012133610266729
BA2570	1042.4509403817774	2.7572681346222847
BA2575	261.6719320104662	1.6097165810701195
BA2577	1032.876321645394	3.651028690608643
BA2579	449.4176386199365	2.760135144162037
BA2583	1188.087690821021	2.810036312022123
BA2584	416.4702869762186	3.675862420284768
BA2587	699.6269820572288	3.1100225388390283
BA2588	1026.9398317358373	2.7914457240380366
BA2589	618.6410391832499	2.0149485837611447
BA2592	1865.1866485698224	2.6901107307254293
BA2593	30.008362985668484	0.0398168591931038
BA2594	471.0287942014413	2.894148730140257
