	NPM1	MYD88
BA3435	9.4000752436972	7.18731663184627
BA3261	9.06667487040862	7.64895583047878
BA3203	7.19738153999511	7.12738803665014
BA3174	7.89563066633541	8.48656626341456
BA3317	9.90525526471174	6.60315866621686
BA3299	8.268195867683	7.55754763062472
BA3221	7.54085820588458	8.75995195431454
BA3347	7.9003747386446	7.50539293842063
BA3235	6.9965338713589	9.21888429779212
BA3126	7.65148276489013	8.49657233882556
BA3380	9.05220627117217	7.00924527251429
BA3089	9.4917929010063	7.06371663624663
BA3109	7.91267481802265	9.12964008242639
BA3114	8.27456876079558	7.11440294806697
BA3418	9.1755941413251	7.26066025557169
BA3245	6.72876764999848	7.51527675972318
BA3085	9.2109276242084	7.46679247570854
BA3128	9.4045391740165	6.86407290374975
BA3423	9.59916222255831	6.56532526138634
BA3173	9.26335235036244	7.66015357873811
BA3171	7.55754763062472	8.16254296358662
BA3277	8.79022656584331	7.73462168625585
BA3210	8.24301678047805	7.70582137825133
BA3157	10.1099887487995	6.91665453342353
BA3433	8.7214605815193	7.56567805381962
BA3322	8.25554427681065	7.6363131099363
BA3374	8.92415796681604	7.31301236291507
BA3450	8.63894476137773	6.15397098768236
BA3167	9.04501990946176	7.47111652375221
BA3269	7.80392510487274	7.54733361982974
BA3110	9.20870997646767	7.00565090016862
BA3156	9.73079295605488	6.36648969189247
BA3226	9.55927298456459	7.15327818681819
BA3421	8.25344779136567	7.94145634611773
BA3232	9.03786515454843	7.54856623986657
BA3289	7.61833712147791	8.53473617000875
BA3430	7.74666982029682	7.34082017175962
BA3145	8.61695773628636	7.09927444538542
BA3399	7.84567146798846	7.49256176412129
BA3449	9.45447558148811	6.63383351459938
BA3384	8.824221356442	7.60280427832536
BA3427	7.21134659078952	8.80250309714617
BA3163	7.08148396341999	8.52445890903765
BA3158	9.2592593958878	7.4827611671997
BA3436	9.67679810675791	7.31758513982701
BA3154	7.76749698582267	6.36086030376613
BA3162	8.60337970015667	7.43931413643912
BA3352	9.67313133431446	6.43437499992686
BA3084	8.78717245605116	7.10925539195399
BA3149	7.8210975174081	8.61968837224666
BA3169	8.24301678047805	8.16449260027971
BA3180	9.11460476788528	7.39444593270682
BA3255	8.64449262965366	7.60280427832536
BA3438	9.3735473533766	6.81086164089737
BA3345	7.67751428719864	8.61151153389318
BA3403	8.41372261793503	7.48933909555342
BA3431	7.86519796261888	7.65632337592004
BA3181	8.39960495989321	8.18020169656618
BA3341	7.99413751864958	6.89968682755392
BA3191	8.36494157515656	8.66126072825912
BA3197	8.97829037472744	7.72277870826456
BA3448	9.08494318011795	6.95213438220586
BA3453	8.80867768640892	7.00079089475897
BA3406	8.79635277497105	7.29431703031285
BA3308	9.38675693832204	7.57949702449786
BA3186	8.48399844841995	7.64511152399424
BA3334	8.7214605815193	6.79640967556144
BA3447	9.60422004710875	6.03566200297907
BA3116	8.70401585675217	8.50160207030541
BA3280	9.25110414260315	6.37783233286425
BA3185	8.5373170330564	7.88191833711993
BA3094	8.59798330037588	7.44041046246091
BA3318	8.47663077360064	6.85085774455995
BA3216	8.8879736022598	7.71088637463883
BA3332	9.36916799017741	6.66119005251722
BA3214	9.51245452204643	7.45866975783138
BA3099	8.8717935877338	7.64778904816974
BA3141	9.43158515365849	6.68593691853273
BA3373	8.78108213178214	7.35957852119331
BA3319	7.51413414557592	9.11086746340759
BA3328	8.07971165578759	8.51425498508966
BA3339	8.07425460403884	7.97894297933459
BA3240	8.97485330936457	6.55393544253528
BA3142	8.62516478231551	7.78959302181462
BA3333	8.98864564355709	7.69921272259806
BA3381	8.18217944661747	8.43037965011906
BA3290	8.25344779136567	7.97388709664949
BA3207	7.11965805588277	8.42798766039968
BA3296	7.05061628699762	8.57659398663682
BA3305	8.59260663428802	7.44544500262934
BA3434	9.18338030789918	8.04765964150367
BA3189	8.87824586229709	7.38062061343463
BA3264	8.69536777456055	7.28525840993051
BA3329	9.45616130594571	7.2371970090631
BA3417	8.57925061313916	8.19211577067672
BA3367	7.38257507273258	8.40797846061249
BA3225	6.41555515164963	9.21888429779212
BA3183	8.88148184246882	7.35578970076071
BA3222	8.70401585675217	7.25176192852259
BA3139	7.46894970580743	6.7542341768109
BA3397	6.732801148639	6.74151598315505
BA3311	7.04704814373678	9.14863087419242
BA3422	9.02011485988608	7.95936662330483
BA3228	8.92415796681604	8.31787605128572
BA3213	8.62516478231551	8.27670009201677
BA3270	8.31787605128572	8.70112769787832
BA3415	7.56784611916855	6.19521896796153
BA3324	8.5607551950315	8.02508710399741
BA3194	8.68106286594684	7.41889646736553
BA3335	8.19211577067672	7.62925234894777
BA3199	9.4000752436972	7.05721925341645
BA3326	8.22036612888066	8.16254296358662
BA3285	7.61362919863888	6.73222274372854
BA3297	8.05288390011611	8.15477520582082
BA3227	8.79022656584331	7.57834177713667
BA3394	9.39118419839355	8.15090969693391
BA3412	7.81249915728454	7.75921826167611
BA3293	8.85123237146193	7.5021543154823
BA3250	7.96260346447077	8.89449191470128
BA3177	8.77199110438686	8.02142525655183
BA3315	8.34906675857089	7.5021543154823
BA3182	7.94936162159169	9.03429954865997
BA3260	7.42825345365406	8.48158973981744
BA3369	8.66407371953991	8.43998936441936
BA3078	8.96297616127633	7.44143176676429
BA3386	8.89776108628452	7.06596636229514
BA3445	8.25135474465914	6.88614746987226
BA3452	8.77199110438686	9.04143859741613
BA3176	9.21490111990201	7.18320770184298
BA3258	7.18983138735934	8.6361785433996
