	ABL1	PMS2
BA3133	0.0151586157173756	0.4230723433751772
BA3135	0.0262274693583273	0.9784490868390512
BA3136	0.015542537851478	1.2890693309676708
BA3137	0.0138572458543619	0.7736844474497608
BA3138	0.0158543619322278	0.6337205169804405
BA3139	0.0150522710886806	2.158207664275008
BA3141	0.0224477289113193	1.4100850338383857
BA3142	0.0263806777217015	1.3793446437145047
BA3145	0.0116618601297764	0.5731269266191928
BA3146	0.0169232155731795	0.9516171782816542
BA3149	0.0144826964671953	0.4005269233897465
BA3152	0.0138248017303532	0.9912570520269832
BA3153	0.0316888968997837	1.2861636260674894
BA3154	0.0201856524873828	0.3651016817934308
BA3156	0.0050630857966834	0.4989648070237195
BA3157	0.0243006488824801	0.9164148779190062
BA3158	0.015192862292718	0.6695268711591187
BA3162	0.0246665465032444	0.6501770087298845
BA3163	0.0108471521268925	0.6569623428732524
BA3164	0.0192736121124729	1.609197165319691
BA3167	0.0217844268204758	0.8995166785845066
BA3169	0.0142862292718096	0.4827906404499495
BA3171	0.0217898341744772	0.9140195837353756
BA3173	0.0176514059120403	0.5172053887894854
BA3174	0.0074242970439798	0.3789494702718998
BA3175	0.0070782263878875	0.4881384881848669
BA3176	0.0175648882480173	1.1181339749112909
BA3177	0.0181578947368421	1.4460073339980244
BA3178	0.018866258111031	0.6786886928312442
BA3180	0.0314023071377072	1.0219961740093575
BA3181	0.0079632299927901	0.5809696938534038
BA3182	0.0166888968997837	0.8690264024372075
BA3183	0.0248089401586157	1.2471966280920814
BA3185	0.0126496034607065	0.6090374266339081
BA3186	0.0253749098774333	0.5285032419964659
BA3187	0.0107930785868781	0.3848128364440085
BA3189	0.0150558759913482	1.6903578458486428
BA3190	0.0103731074260994	0.464041475454476
BA3191	0.0097116077865897	0.6213725843324005
BA3192	0.016888968997837	0.4333985045198983
BA3194	0.0324909877433309	1.6372780050841291
BA3195	0.0149477289113193	0.6523940348501944
BA3197	0.0242429704397981	0.6355804640246097
BA3199	0.025270367700072	1.540416522862782
BA3200	0.0230785868781542	1.1163367689096604
BA3202	0.0192880317231434	0.2615493788768105
BA3203	0.0158597692862292	0.4962176526389544
BA3206	0.0162743330930064	0.8764515714035761
BA3207	0.0133020908435472	0.822249658669224
BA3208	0.0090915645277577	1.1062484560967225
BA3210	0.0217123287671232	0.2143012794643916
BA3211	0.0179812545061283	0.7598930138644573
BA3212	0.0332281903388608	1.2744195729111814
BA3213	0.0166149963950973	0.6560287139855997
BA3214	0.009592645998558	0.9538587876373076
BA3216	0.0157137707281903	0.6663664389507828
BA3217	0.0261878154289834	0.5426866807267049
BA3219	0.0107354001441961	0.9389443954235048
BA3221	0.0088698630136986	0.5624165528408105
BA3222	0.0215771449170872	1.7309460501266425
BA3225	0.0116240086517664	0.993687045702338
BA3226	0.0166204037490987	0.7998384231459544
BA3227	0.0285291997116077	0.915942502747898
BA3228	0.0207173756308579	1.7571593717041143
BA3229	0.0180821917808219	1.0938951645370834
BA3230	0.0169899062725306	0.8119645113092011
BA3232	0.0152343186733958	1.099622000906614
BA3234	0.0154217736121124	1.4047468690018987
BA3235	0.0098558038932948	0.7524616521130967
BA3237	0.013042537851478	0.6001925633420199
BA3240	0.0435886806056236	1.5426479958821475
BA3242	0.0128731074260994	0.9986970506172616
BA3243	0.0143330930064888	0.941210529680764
BA3245	0.0212076423936553	1.15000157498347
BA3249	0.0218637346791636	0.7375721450667794
BA3250	0.0191041816870944	1.304063904777712
BA3251	0.0130353280461427	0.5362886400305416
BA3255	0.0108309300648882	1.290370760754692
BA3258	0.0105461427541456	1.1045910373755676
BA3260	0.0103064167267483	0.5788426708148067
BA3261	0.0220511896178803	0.7740670400808912
BA3264	0.029127613554434	1.2529276763990769
BA3266	0.0226856524873828	1.34853643033237
BA3268	0.0360526315789473	1.2817996376882823
BA3269	0.0187328767123287	0.3961024272961804
BA3270	0.0144881038211968	1.0383734498216193
BA3271	0.02060021629416	1.2742884224866329
BA3273	0.0321178803172314	0.2506958352904084
BA3275	0.028923936553713	0.9391228007329973
BA3277	0.0209318673395818	0.4254531598160873
BA3280	0.020474044700793	0.364877141984806
BA3283	0.0126387887527036	0.6446096056828241
BA3285	0.0137274693583273	1.7706263836466425
BA3286	0.0178496755587599	1.0167467451296412
BA3289	0.00443763518385	0.1570687875090279
BA3290	0.012072819033886	0.8781862275434096
BA3293	0.0246773612112472	1.491413200709424
BA3295	0.0183255227108868	1.1110202504770454
BA3296	0.0086697909156452	0.7684160080158844
BA3297	0.029592645998558	1.4174860800398186
BA3299	0.0119646719538572	0.3307165634686039
