	ABL1	MSH2
BA2809	0.0128298485940879	0.0335072933549432
BA2811	0.0167159336697909	0.0271896272285251
BA2812	0.006986301369863	0.0227358184764991
BA2813	0.0101748377793799	0.0102398703403565
BA2814	0.012141312184571	0.021740680713128
BA2816	0.0128983417447728	0.0074846029173419
BA2817	0.0133705839942321	0.0046482982171799
BA2820	0.0195241528478731	0.0263144246353322
BA2821	0.0274477289113193	0.0700583468395461
BA2822	0.0146539293439077	0.01812641815235
BA2824	0.0203262436914203	0.0205575364667747
BA2828	0.0093727469358327	0.0136142625607779
BA2829	0.0157137707281903	0.0444862236628849
BA2830	0.0076910598413842	0.0204246353322528
BA2832	0.0145367700072098	0.0263306320907617
BA2836	0.0119899062725306	0.0056952998379254
BA2837	0.0134246575342465	0.0313743922204214
BA2839	0.0310886806056236	0.0066320907617504
BA2840	0.0080533525594808	0.0185380875202593
BA2841	0.0249585436193222	0.0149173419773095
BA2842	0.0069790915645277	0.0020875202593192
BA2843	0.0125991348233597	0.0075526742301458
BA2844	0.0165176640230713	0.0205769854132901
BA2846	0.0267069214131218	0.0184051863857374
BA2850	0.0103568853640951	0.0106385737439222
BA2851	0.0235832732516222	0.0421653160453808
BA2852	0.0104434030281182	0.0045316045380875
BA2855	0.0142087238644556	0.007837925445705
BA2856	0.0061751982696467	0.0030372771474878
BA2858	0.0095602018745493	0.0212868719611021
BA2860	0.0067519826964671	0.0192285251215559
BA2861	0.0149585436193222	0.0270826580226904
BA2865	0.0138139870223503	0.0253160453808752
BA2866	0.0177505407354001	0.0437309562398703
BA2867	0.0181416726748377	0.0122333873581847
BA2868	0.022945205479452	0.0405769854132901
BA2870	0.0288085796683489	0.0421750405186385
BA2871	0.0117988464311463	0.0150761750405186
BA2872	0.011559120403749	0.0398573743922204
BA2876	0.0157948810382119	0.0025121555915721
BA2879	0.0138914924297043	0.0047001620745542
BA2880	0.0088518385003604	0.0224084278768233
BA2882	0.0111085075702956	0.010547811993517
BA2883	0.0226189617880317	0.00890113452188
BA2885	0.0144754866618601	0.0197633711507293
BA2887	0.0185832732516222	0.0401620745542949
BA2889	0.0001099495313626	0.0002074554294975
BA2893	0.0105371304974765	0.0281296596434359
BA2901	0.0094160057678442	0.0041717990275526
BA2902	0.0132930785868781	0.0084927066450567
BA2903	0.0040879596250901	0.0013257698541329
BA2904	0.0122098053352559	0.0364667747163695
BA2905	0.0205587599134823	0.0159967585089141
BA2906	0.0187761355443403	0.0355623987034035
BA2908	0.0214978370583994	0.0341134521880064
BA2909	0.0079055515501081	0.0130340356564019
BA2910	0.0172152126892573	0.0186288492706645
BA2911	0.0161535688536409	0.0328525121555915
BA2914	0.0139798125450612	0.0219611021069692
BA2915	0.0079091564527757	0.0033387358184764
BA2921	0.0102000720980533	0.0042139384116693
BA2922	0.017528839221341	0.0338606158833063
BA2923	0.0063229992790194	0.0103111831442463
BA2926	0.0152487382840663	0.0388816855753646
BA2928	0.0180551550108147	0.0414910858995137
BA2930	0.0134913482335976	0.0150534846029173
BA2932	0.0167591925018024	0.0448946515397082
BA2934	0.0065338860850757	0.0035397082658022
BA2935	0.0084967555875991	0.0080388978930307
BA2937	0.0097638788752703	0.0254262560777957
BA2939	0.0099242970439798	0.0118411669367909
BA2944	0.020232516222062	0.0464343598055105
BA2947	0.0107516222062004	0.0187293354943273
BA2948	0.0091474405191059	0.010706645056726
BA2950	0.0101117519826964	0.0190534846029173
BA2951	0.0080299206921413	0.0317925445705024
BA2952	0.0254001441961067	0.0266094003241491
BA2953	0.0064059120403749	0.009740680713128
BA2955	0.0074098774333093	0.0066094003241491
BA2956	0.0048413842826243	0.0027585089141004
BA2962	0.0184571016582552	0.0369594813614262
BA2970	0.0105118961788031	0.0115397082658022
BA2972	0.0217393655371304	0.0159740680713128
BA2976	0.0060994953136265	0.0234457050243111
BA2978	0.0098107426099495	0.0168136142625607
BA2981	0.0137527036770007	0.0090210696920583
BA2984	0.0127253064167267	0.0136272285251215
BA2986	0.0124855803893294	0.0342625607779578
BA2989	0.018972602739726	0.0108881685575364
BA2992	0.0137328767123287	0.0087844408427876
BA2993	0.0062509012256669	0.0099902755267423
BA2994	0.0163446286950252	0.0149562398703403
BA2995	0.0128929343907714	0.0035040518638573
BA2999	0.0155875991348233	0.0233970826580226
BA3001	0.0230966113914924	0.046
BA3002	0.0170007209805335	0.0297763371150729
BA3004	0.0253803172314347	0.0321782820097244
BA3006	0.0083777937995674	0.0266385737439222
BA3008	0.0010868781542898	0.0007520259319286
BA3009	0.0132912761355443	0.0440810372771474
BA3010	0.0096232876712328	0.0127552674230145
BA3011	0.0240374909877433	0.0132706645056726
BA3013	0.0143240807498197	0.0411312803889789
BA3023	0.0165969718817591	0.0099546191247974
BA3025	0.0182480173035328	0.0339773095623987
BA3027	0.0054902667627974	0.0037147487844408
BA3029	0.0092357606344628	0.0058541329011345
BA3030	0.0145746214852198	0.0496045380875202
BA3037	0.0189149242970439	0.0060907617504051
BA3038	0.0169196106705118	0.0420324149108589
BA3040	0.0160490266762797	0.0364246353322528
BA3042	0.0222819033886085	0.0291863857374392
BA3043	0.0070421773612112	0.0129238249594813
BA3049	0.0035255948089401	0.0083079416531604
BA3051	0.0110310021629416	0.0077341977309562
BA3053	0.0164708002883922	0.0471085899513776
BA3064	0.0178640951694304	0.0259319286871961
BA3067	0.0239329488103821	0.0398833063209076
