	ABL1	WRN
BA3079	0.0097873107426099	0.9887182835121248
BA3083	0.0143294881038211	3.2309698131175204
BA3084	0.0100558759913482	3.559576318964077
BA3085	0.0095872386445565	1.419498382711447
BA3087	0.0460724585436193	12.083290418558438
BA3089	0.0248864455659697	3.896620198044157
BA3094	0.0194214131218457	1.740660833920353
BA3095	0.0163680605623648	6.884488308603797
BA3098	0.0141834895457822	2.2217342617418083
BA3099	0.0234228550829127	5.43806712554658
BA3103	0.0260598413842826	2.2728028295003297
BA3108	0.0228857245854361	14.188482230557296
BA3109	0.0128082191780821	2.971237088639869
BA3110	0.0175684931506849	3.4551156101363034
BA3114	0.0120421773612112	2.6864013808153326
BA3116	0.0108183129055515	1.6998488431806325
BA3117	0.030697548666186	3.987113227869628
BA3118	0.0119214131218457	1.3762676334422794
BA3119	0.0342880317231434	5.511554755105723
BA3123	0.0154091564527757	3.227657545252449
BA3124	0.0086968276856524	3.735056265760864
BA3126	0.0155641672674837	0.7479099191980629
BA3128	0.0190338860850757	1.921277346589936
BA3130	0.0098792357606344	0.61915369304162
BA3133	0.0151586157173756	6.659478999079629
BA3135	0.0262274693583273	5.533894169945613
BA3136	0.015542537851478	3.0668249013612905
BA3137	0.0138572458543619	1.592657703538519
BA3138	0.0158543619322278	1.8013397595088716
BA3139	0.0150522710886806	5.597895478809273
BA3141	0.0224477289113193	4.2399440930443015
BA3142	0.0263806777217015	5.603703426736985
BA3145	0.0116618601297764	9.004678885772467
BA3146	0.0169232155731795	1.8640550524190556
BA3149	0.0144826964671953	3.123286551556001
BA3152	0.0138248017303532	2.4027632564269195
BA3153	0.0316888968997837	4.116261554678923
BA3154	0.0201856524873828	2.280283017358552
BA3156	0.0050630857966834	2.264975043684509
BA3157	0.0243006488824801	4.136297524015736
BA3158	0.015192862292718	3.5731919330024464
BA3162	0.0246665465032444	1.8884071422425768
BA3163	0.0108471521268925	1.274647909863565
BA3164	0.0192736121124729	3.645939744438264
BA3167	0.0217844268204758	0.5183432638562786
BA3169	0.0142862292718096	2.062413583805335
