#Boxplots d'expressions du gène KRAS en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 2.856, p-value = 0.036
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA3187       NonMut        6.243655
   BA3098       NonMut        6.476681
   BA3435       NonMut        5.206509
   BA3261       NonMut        5.532397
   BA3203       NonMut        6.604218
   BA3174       NonMut        6.758872
   BA3317       NonMut        5.631291
   BA3299       NonMut        6.750740
   BA3221       NonMut        6.180314
   BA3347       NonMut        6.093454
   BA3235       NonMut        6.318104
   BA3126       NonMut        5.775288
   BA3380       NonMut        6.343221
   BA3089       NonMut        6.547662
   BA3114       NonMut        6.690808
   BA3418       NonMut        6.869035
   BA3245       NonMut        6.851448
   BA3085       NonMut        5.979312
   BA3128       NonMut        6.736925
   BA3423       NonMut        6.388374
   BA3173       NonMut        6.435903
   BA3277       NonMut        7.508617
   BA3210       NonMut        6.945568
   BA3157       NonMut        5.694879
   BA3433       NonMut        7.106127
   BA3322       NonMut        6.194380
   BA3374       NonMut        6.440789
   BA3450       NonMut        7.429288
   BA3167       NonMut        6.312054
   BA3269       NonMut        7.207129
   BA3110       NonMut        7.159520
   BA3156       NonMut        6.348330
   BA3226       NonMut        6.303268
   BA3421       NonMut        6.674468
   BA3232       NonMut        6.253112
   BA3289       NonMut        6.703094
   BA3145       NonMut        6.132085
   BA3399       NonMut        7.151586
   BA3384       NonMut        6.395512
   BA3427       NonMut        6.394995
   BA3163       NonMut        6.469768
   BA3158       NonMut        5.992306
   BA3436       NonMut        5.101766
   BA3154       NonMut        7.946359
   BA3162       NonMut        6.125940
   BA3352       NonMut        6.126826
   BA3084       NonMut        6.114218
   BA3149       NonMut        6.707555
   BA3169       NonMut        6.352110
   BA3180       NonMut        6.087073
   BA3255       NonMut        6.350698
   BA3438       NonMut        5.946788
   BA3345       NonMut        6.388883
   BA3431       NonMut        6.550272
   BA3341       NonMut        6.630588
   BA3191       NonMut        6.557640
   BA3197       NonMut        5.965452
   BA3453       NonMut        7.166329
   BA3406       NonMut        6.476208
   BA3308       NonMut        5.284347
   BA3186       NonMut        6.211894
   BA3334       NonMut        6.364204
   BA3447       NonMut        6.015401
   BA3116       NonMut        6.850259
   BA3280       NonMut        6.473760
   BA3185       NonMut        7.137564
   BA3094       NonMut        6.474772
   BA3318       NonMut        6.621916
   BA3216       NonMut        6.394085
   BA3332       NonMut        6.087497
   BA3214       NonMut        6.778340
   BA3099       NonMut        6.008009
   BA3141       NonMut        5.652988
   BA3373       NonMut        6.515551
   BA3319       NonMut        6.607924
   BA3328       NonMut        6.066380
   BA3339       NonMut        6.691924
   BA3240       NonMut        5.760270
   BA3142       NonMut        4.834444
   BA3333       NonMut        6.219335
   BA3381       NonMut        6.293618
   BA3290       NonMut        5.819597
   BA3207       NonMut        6.127736
   BA3296       NonMut        6.171670
   BA3305       NonMut        5.878905
   BA3434       NonMut        6.008009
   BA3189       NonMut        6.585177
   BA3264       NonMut        6.153112
   BA3329       NonMut        6.389795
   BA3417       NonMut        6.323608
   BA3367       NonMut        6.508548
   BA3225       NonMut        6.001347
   BA3183       NonMut        5.843531
   BA3139       NonMut        5.103864
   BA3397       NonMut        5.371199
   BA3311       NonMut        6.711551
   BA3422       NonMut        6.637078
   BA3228       NonMut        6.187724
   BA3213       NonMut        6.247715
   BA3270       NonMut        6.144169
   BA3415       NonMut        5.916772
   BA3324       NonMut        6.610066
   BA3194       NonMut        5.571169
   BA3335       NonMut        6.390739
   BA3199       NonMut        5.917986
   BA3326       NonMut        6.466335
   BA3285       NonMut        5.218891
   BA3297       NonMut        5.832566
   BA3227       NonMut        5.546223
   BA3394       NonMut        6.769580
