#Résultats bruts de l'abondance de mutation du gène TET2 selon la feature consensus_sex, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.016850 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression consensus_sex
 31.000000 8.566528e+09              3.618736          Male
252.275862 1.306337e+10             19.311694          Male
 41.586207 8.524355e+09              4.878517          Male
 31.000000 1.269244e+10              2.442399        Female
 27.793103 1.106665e+10              2.511429        Female
 30.758621 1.181290e+10              2.603817        Female
 97.758621 8.843945e+09             11.053735        Female
 52.413793 1.222447e+10              4.287613        Female
 45.965517 1.233934e+10              3.725118          Male
 67.103448 1.264142e+10              5.308222          Male
 42.689655 1.185453e+10              3.601125        Female
 13.103448 5.072799e+09              2.583081          Male
 59.379310 9.067227e+09              6.548784        Female
 11.517241 9.634918e+09              1.195365          Male
 46.551724 8.005594e+09              5.814899        Female
 73.724138 1.231039e+10              5.988773        Female
 49.551724 8.230549e+09              6.020464          Male
 37.448276 6.763000e+09              5.537229          Male
 14.689655 8.420969e+09              1.744414          Male
 83.413793 1.322240e+10              6.308522          Male
 96.620690 9.354164e+09             10.329163          Male
 27.793103 9.109860e+09              3.050881          Male
 21.379310 8.908070e+09              2.399994        Female
 54.034483 1.215164e+10              4.446683        Female
 20.310345 8.157287e+09              2.489841          Male
 48.758621 7.402556e+09              6.586728        Female
 24.586207 5.793404e+09              4.243828        Female
 21.724138 8.738210e+09              2.486108          Male
 45.620690 9.495128e+09              4.804642          Male
 31.206897 9.745327e+09              3.202242          Male
 25.551724 8.273834e+09              3.088257        Female
 44.620690 7.774889e+09              5.739077        Female
 11.758621 9.835948e+09              1.195474        Female
 73.344828 9.101451e+09              8.058587        Female
 45.689655 1.150906e+10              3.969886        Female
 27.310345 7.895416e+09              3.459013          Male
 37.517241 9.259345e+09              4.051825          Male
127.206897 1.382345e+10              9.202255          Male
 42.965517 9.399235e+09              4.571172        Female
 22.172414 6.912981e+09              3.207359          Male
 60.517241 9.386605e+09              6.447192        Female
 74.413793 9.754595e+09              7.628589        Female
