	ABL1	ASXL1
BA2413	0.0136788031723143	0.0117772714326402
BA2414	0.0243258832011535	0.0124907433779549
BA2415	0.0047260273972602	0.0056394189689547
BA2417	0.0171773612112472	0.0111563657077755
BA2418	0.0077685652487382	0.007225861577898
BA2420	0.0105136986301369	0.0107675875818855
BA2421	0.0181596971881759	0.0098219880375961
BA2423	0.0107894736842105	0.0114297920820279
BA2425	0.0087941600576784	0.0111421247507832
BA2426	0.0100558759913482	0.0064810595272002
BA2427	0.0086571737563085	0.0102178866419823
BA2429	0.0106452775775054	0.014340643691256
BA2440	0.01405010814708	0.014322130447166
BA2441	0.0184354722422494	0.0215209342067786
BA2442	0.0116095890410958	0.0124095699230988
BA2446	0.0115392934390771	0.0098803759612645
BA2449	0.0213698630136986	0.0110210766163486
BA2450	0.0162040374909877	0.0123839362005126
BA2452	0.0252541456380677	0.0133380803189974
BA2454	0.0121611391492429	0.0143264027342637
BA2455	0.0087148521989906	0.0059285103958986
BA2456	0.0047837058399423	0.0112247223013386
BA2459	0.0067934390771449	0.0138336656223298
BA2461	0.0103262436914203	0.0129621190544004
BA2463	0.0140356885364095	0.0073141555112503
BA2464	0.0198936553713049	0.0128254058672742
BA2469	0.0165843547224224	0.0078097408145827
BA2470	0.0112599134823359	0.0098917687268584
BA2472	0.0163428262436914	0.008575904300769
BA2473	0.0219412400865176	0.0136342922244374
BA2474	0.0123521989906272	0.0099601253204215
BA2477	0.025086517664023	0.0151737396753061
BA2479	0.0077253064167267	0.0203503275420108
BA2480	0.023895097332372	0.0117986328681287
BA2481	0.0052072819033886	0.0065266305895756
BA2482	0.0118006488824801	0.0098704072913699
BA2483	0.0151604181687094	0.0112403873540301
BA2485	0.0216672674837779	0.0121432640273426
BA2488	0.0136697909156452	0.0117074907433779
BA2489	0.0131038211968276	0.0091426943890629
BA2492	0.007577505407354	0.0073027627456565
BA2494	0.0152487382840663	0.0170008544574195
BA2496	0.0059769286229271	0.0057148960410139
BA2497	0.0092682047584715	0.0073312446596411
BA2499	0.0128262436914203	0.0092252919396183
BA2500	0.0246304974765681	0.0147208772429507
BA2501	0.0150558759913482	0.0160182284249501
BA2502	0.0097837058399423	0.0081102250071204
BA2505	0.0148648161499639	0.0101068071774423
BA2507	0.0108904109589041	0.0098903446311592
BA2510	0.016472602739726	0.0088735403019082
BA2511	0.0059480894015861	0.0102178866419823
BA2512	0.0125036049026676	0.0120136713187126
BA2514	0.0112743330930064	0.0143506123611506
BA2515	0.0118655371304974	0.0080988322415266
BA2520	0.0036265320836337	0.0100598120193677
BA2521	0.0162959625090122	0.0131757334092851
BA2523	0.0194394376351838	0.0090472799772144
BA2524	0.0125360490266762	0.0071603531757334
BA2525	0.0119700793078586	0.0263657077755625
