#Boxplots d'expressions du gène CEBPA en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 214.268, p-value = 0.00000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2935       NonMut        0.018003
   BA2937       NonMut        0.021011
   BA2939       NonMut        0.022070
   BA2944       NonMut        0.006076
   BA2947       NonMut        0.007828
   BA2948       NonMut        0.009037
   BA2950       NonMut        0.007408
   BA2951       NonMut        0.009531
   BA2952       NonMut        0.062659
   BA2953       NonMut        0.004173
   BA2955       NonMut        0.031082
   BA2956       NonMut        0.004253
   BA2962       NonMut        0.020599
   BA2970       NonMut        0.009361
   BA2976       NonMut        0.017166
   BA2978       NonMut        0.008519
   BA2981       NonMut        0.020479
   BA2984       NonMut        0.025766
   BA2986       NonMut        0.010694
   BA2989       NonMut        0.014655
   BA2992       NonMut        0.009355
   BA2993       NonMut        0.013505
   BA2994       NonMut        0.019455
   BA2995       NonMut        0.012073
   BA2999       NonMut        0.018229
   BA3001       NonMut        0.023604
   BA3002       NonMut        0.021781
   BA3004       NonMut        0.044828
   BA3006       NonMut        0.022730
   BA3008       NonMut        0.004950
   BA3009       NonMut        0.016825
   BA3010       NonMut        0.020820
   BA3011       NonMut        0.019240
   BA3013       NonMut        0.019584
   BA3023       NonMut        0.006864
   BA3027       NonMut        0.004655
   BA3029       NonMut        0.024916
   BA3030       NonMut        0.010392
   BA3037       NonMut        0.026983
   BA3038       NonMut        0.010857
   BA3040       NonMut        0.013851
   BA3043       NonMut        0.017632
   BA3049       NonMut        0.021830
   BA3051       NonMut        0.005488
   BA3053       NonMut        0.023598
   BA3064       NonMut        0.027695
   BA3067       NonMut        0.006556
   BA3068       NonMut        0.006776
   BA3070       NonMut        0.016270
   BA3071       NonMut        0.020345
   BA3072       NonMut        0.019305
   BA3075       NonMut        0.019143
   BA3076       NonMut        0.004908
   BA3077       NonMut        0.021853
   BA2040       NonMut        0.008129
   BA2160       NonMut        0.051709
   BA2303       NonMut        0.018684
   BA2353       NonMut        0.012322
   BA2516       NonMut        0.017307
   BA2590       NonMut        0.033498
   BA2647       NonMut        0.007678
   BA2891       NonMut        0.008618
   BA2924       NonMut        0.013284
   BA2971       NonMut        0.008448
   BA3036       NonMut        0.015332
   BA3059       NonMut        0.010544
   BA3073       NonMut        0.014799
   BA3078       NonMut        0.006016
   BA3079       NonMut        0.010173
   BA3083       NonMut        0.025910
   BA3084       NonMut        0.010476
   BA3085       NonMut        0.007415
   BA3087       NonMut        0.019702
   BA3089       NonMut        0.031848
   BA3094       NonMut        0.030633
   BA3095       NonMut        0.021361
   BA3098       NonMut        0.014586
   BA3099       NonMut        0.018033
   BA3103       NonMut        0.008856
   BA3108       NonMut        0.032969
   BA3109       NonMut        0.009454
   BA3110       NonMut        0.005958
   BA3114       NonMut        0.006794
   BA3116       NonMut        0.016412
   BA3118       NonMut        0.013572
   BA3119       NonMut        0.043497
   BA3123       NonMut        0.029588
   BA3124       NonMut        0.005067
   BA3126       NonMut        0.012899
   BA3128       NonMut        0.024814
   BA3130       NonMut        0.005122
   BA3133       NonMut        0.013035
   BA3135       NonMut        0.018957
   BA3136       NonMut        0.027221
   BA3137       NonMut        0.012153
   BA3138       NonMut        0.013542
   BA3139       NonMut        0.016897
   BA3141       NonMut        0.022030
   BA3142       NonMut        0.012047
   BA3145       NonMut        0.033792
   BA3146       NonMut        0.017982
   BA3149       NonMut        0.004971
   BA3152       NonMut        0.011270
   BA3154       NonMut        0.003436
   BA3156       NonMut        0.000267
   BA3157       NonMut        0.035030
   BA3158       NonMut        0.007327
   BA3162       NonMut        0.009431
   BA3163       NonMut        0.017389
   BA3164       NonMut        0.015192
   BA3167       NonMut        0.036030
   BA3169       NonMut        0.019957
   BA3171       NonMut        0.028739
   BA3173       NonMut        0.002667
   BA3174       NonMut        0.013327
   BA3175       NonMut        0.015670
   BA3176       NonMut        0.014187
   BA3177       NonMut        0.017442
   BA3178       NonMut        0.036310
   BA3180       NonMut        0.034212
   BA3181       NonMut        0.013188
   BA3182       NonMut        0.012176
   BA3183       NonMut        0.016485
   BA3185       NonMut        0.010121
   BA3186       NonMut        0.001370
   BA3187       NonMut        0.003974
   BA3189       NonMut        0.029216
   BA3190       NonMut        0.014082
   BA3191       NonMut        0.023266
   BA3192       NonMut        0.013566
   BA3195       NonMut        0.016268
   BA3197       NonMut        0.020584
   BA3200       NonMut        0.069462
