ID_sample	TypeMutation	ExpressionGene
BA3094	NonMut	-1.96011964564348
BA3318	NonMut	6.326824292765
BA3216	NonMut	6.47279065497325
BA3332	NonMut	7.36724009431295
BA3099	NonMut	7.75780436658957
BA3141	NonMut	8.84307877151568
BA3373	NonMut	8.43758065182973
BA3319	NonMut	5.9785222997962
BA3328	NonMut	9.1410080593907
BA3339	NonMut	1.3495851994097
BA3240	NonMut	8.91751782379931
BA3142	NonMut	8.68676863894814
BA3333	NonMut	7.37577438257785
BA3381	NonMut	5.08870565418655
BA3290	NonMut	8.19012213724112
BA3207	NonMut	3.02428518304635
BA3296	NonMut	3.53193069811392
BA3305	NonMut	6.50854787129231
BA3434	NonMut	4.82292152807512
BA3264	NonMut	7.17999658780694
BA3417	NonMut	0.207476070123517
BA3367	NonMut	5.72023465218825
BA3225	NonMut	3.92905779716509
BA3183	NonMut	6.73692509275104
BA3222	NonMut	0.578560653385863
BA3139	NonMut	7.81101053195418
BA3397	NonMut	3.03620367997927
BA3311	NonMut	6.35019247071228
BA3228	NonMut	7.8210975174081
BA3270	NonMut	6.34737367069021
BA3415	NonMut	5.82971849546372
BA3194	NonMut	8.2960419873451
BA3326	NonMut	2.88584557978208
BA3285	NonMut	9.61602995658446
BA3227	NonMut	9.60929418124753
BA3394	NonMut	7.53511002571526
BA3412	NonMut	0.439987090282692
BA3293	NonMut	9.06845231152446
BA3250	NonMut	5.42966375134891
BA3177	NonMut	5.13976221148527
BA3315	NonMut	3.90901162589946
BA3182	NonMut	5.55510823651463
BA3369	NonMut	4.807111451034
BA3078	NonMut	5.75415496254133
BA3386	NonMut	8.70980864868103
BA3445	NonMut	6.61275930528802
BA3452	NonMut	7.32489473499785
BA3258	NonMut	1.26994075255518
BA3295	NonMut	6.94358580230343
BA3283	NonMut	6.57356389506373
BA3390	NonMut	3.87479759609797
BA3136	NonMut	8.1981158996604
BA3234	NonMut	3.4375681966549
BA3087	NonMut	5.20013137153335
BA3454	NonMut	7.54733361982974
BA3302	NonMut	7.65276972214058
BA3083	NonMut	6.71212603625657
BA3266	NonMut	7.75640802704286
BA3175	NonMut	5.07164095305392
BA3268	NonMut	9.30485684547982
BA3229	NonMut	7.94145634611773
BA3353	NonMut	7.18078818168097
BA3119	NonMut	9.45909303825332
BA3138	NonMut	6.87971926016812
BA3219	NonMut	2.03395241692527
BA3388	NonMut	7.44443985803447
BA3357	NonMut	9.53650854885809
BA3351	NonMut	5.83800900717186
BA3208	NonMut	7.35298985161002
BA3310	NonMut	7.19145743010941
BA3146	NonMut	8.2874098816496
BA3211	NonMut	9.66095938066438
BA3237	NonMut	9.1755941413251
BA3130	NonMut	0.0096330444008767
BA3300	NonMut	7.64778904816974
BA3375	NonMut	8.10917947996904
BA3249	NonMut	8.97664914654451
BA3242	NonMut	7.21053357648558
BA3446	NonMut	6.31068973576453
BA3123	NonMut	8.04414638908848
