	ID_sample	TypeMutation	ExpressionGene
294	BA2644	NonMut	0.2322774224899261
295	BA2645	NonMut	0.1872305608204482
296	BA2646	NonMut	0.5537548395255599
297	BA2649	NonMut	0.6366780707777169
298	BA2653	NonMut	0.304210238283527
299	BA2655	NonMut	0.3123562697068878
300	BA2656	NonMut	0.2351063827030627
301	BA2657	NonMut	0.4598208832447635
302	BA2658	NonMut	0.1323432279927941
303	BA2659	NonMut	0.3517600583229247
304	BA2662	NonMut	0.254162715510198
305	BA2670	NonMut	0.4787332765947135
306	BA2674	NonMut	0.5847776439328105
307	BA2675	NonMut	0.393738690939336
308	BA2676	NonMut	0.2478024809194902
309	BA2677	NonMut	0.2488417419559836
310	BA2681	NonMut	0.1560957359755229
311	BA2682	NonMut	0.2847513258925345
312	BA2688	NonMut	0.1010376832524803
313	BA2691	NonMut	0.3457070269471681
314	BA2694	NonMut	0.4328221504716751
315	BA2695	NonMut	0.233523053172754
316	BA2697	NonMut	0.0883854113088879
317	BA2701	NonMut	0.1427044063120382
318	BA2704	NonMut	0.6087831810726083
319	BA2705	NonMut	0.9599598498105344
320	BA2709	NonMut	0.2309063298062662
321	BA2712	NonMut	0.2277428684882624
322	BA2714	NonMut	0.4087606478982316
323	BA2720	NonMut	0.06199850693479
324	BA2721	NonMut	0.7256291013940612
325	BA2722	NonMut	0.4249924044391167
326	BA2723	NonMut	0.1535496039363053
327	BA2724	NonMut	0.1486408135343405
328	BA2726	NonMut	0.1489933819202283
329	BA2727	NonMut	0.2456724084252623
330	BA2728	NonMut	0.3130353858877515
331	BA2731	NonMut	0.0822678721671272
332	BA2733	NonMut	0.1896873445208171
333	BA2737	NonMut	0.3051122360343138
334	BA2742	NonMut	0.3025082884520792
335	BA2744	NonMut	0.1577588875420493
336	BA2746	NonMut	0.202555877357812
337	BA2747	NonMut	0.4742826334446685
338	BA2748	NonMut	0.1634354112640224
339	BA2751	NonMut	0.8071463090211424
340	BA2756	NonMut	0.192496304084087
341	BA2762	NonMut	0.4421250179694788
342	BA2764	NonMut	0.1638911456373233
343	BA2772	NonMut	0.2248489260951291
344	BA2775	NonMut	0.478373757838183
345	BA2776	NonMut	0.8772785406547836
346	BA2778	NonMut	0.3422344058267053
347	BA2782	NonMut	0.194310722010821
348	BA2786	NonMut	0.1125092427841016
349	BA2787	NonMut	0.0771819098017011
350	BA2789	NonMut	0.591763462756144
351	BA2791	NonMut	0.4767886715929873
352	BA2792	NonMut	0.1792834471163342
353	BA2798	NonMut	0.5461655847380165
354	BA2802	NonMut	0.2787978911299484
355	BA2804	NonMut	0.139407727396832
356	BA2806	NonMut	0.6373509732992193
357	BA2808	NonMut	0.3474576813245529
358	BA2809	NonMut	0.559960596602449
359	BA2811	NonMut	0.6528701339657501
360	BA2812	NonMut	0.1636321052310726
361	BA2813	NonMut	0.5101650932078571
362	BA2814	NonMut	0.1404256277107412
363	BA2817	NonMut	0.0122968239201825
364	BA2820	NonMut	0.556197107899173
365	BA2821	NonMut	0.6334937133920333
366	BA2822	NonMut	0.2804174568518855
367	BA2824	NonMut	0.8006411697174718
368	BA2828	NonMut	0.2819806751023824
369	BA2829	NonMut	0.728071995753671
370	BA2830	NonMut	0.350923088320888
371	BA2832	NonMut	0.3191597094253302
372	BA2836	NonMut	0.2379198113207616
373	BA2837	NonMut	0.303408432360746
