	ABL1	SRP72
BA2660	0.0080857966834895	394.2517010232536
BA2662	0.0143330930064888	704.3501601776198
BA2663	0.0116925018024513	537.5080793471242
BA2667	0.0136445565969718	422.3079208385626
BA2670	0.0059354722422494	469.4674133109812
BA2674	0.0104379956741167	718.3075830176915
BA2675	0.0151568132660418	621.2647373034267
BA2676	0.0147981254506128	434.7168874806242
BA2677	0.0095962509012256	528.1220415927302
BA2681	0.0056380677721701	386.9279796899074
BA2682	0.012732516222062	714.2997582353347
BA2685	0.0221935832732516	1002.15465524361
BA2688	0.0081380677721701	371.3388073163864
BA2691	0.0082858687815428	607.018246173611
BA2694	0.0088482335976928	405.785021568389
BA2695	0.0070007209805335	734.2257355217727
BA2697	0.0056218457101658	268.45866588184737
BA2701	0.009388968997837	374.0466877796632
BA2704	0.0232498197548666	622.179960486584
BA2705	0.0289185291997116	478.1012489215088
BA2707	0.0052000720980533	934.838951120846
BA2709	0.008352559480894	403.2200987392425
BA2712	0.0131182408074981	328.6250389583652
BA2714	0.0148071377072819	625.4335367256634
BA2715	0.0302505407354001	334.4024502388479
BA2718	0.0331092285508291	578.0153507260509
BA2720	0.0045331651045421	372.7495779081565
BA2721	0.0158417447728911	427.1432319126954
BA2722	0.0155623648161499	653.28473950097
BA2723	0.0153586878154289	505.4525909668941
BA2724	0.008516582552271	501.4370341566429
BA2726	0.008866258111031	665.80075669538
BA2727	0.0105082912761355	744.5642081688836
BA2728	0.0145583994232155	523.5621295633814
BA2731	0.0071449170872386	294.3513130443262
BA2733	0.006016582552271	285.5253711478822
BA2735	0.0094772891131939	419.49033638919775
BA2737	0.0095133381398702	423.5889915035157
BA2742	0.0109138428262436	657.9862710672111
BA2744	0.0048918529199711	190.00473533751253
BA2746	0.0107534246575342	530.4503596126073
BA2747	0.0102829848594087	460.9277913306285
BA2748	0.0250684931506849	852.865164351072
BA2751	0.0057804614275414	351.6685050330749
BA2756	0.015416366258111	579.4609189434713
BA2758	0.0097909156452775	377.63153597407006
BA2760	0.0199783705839942	681.239240112791
BA2762	0.0134895457822638	713.9062762318713
BA2764	0.0110994953136265	529.888865648156
BA2765	0.0068673395818312	363.1524141643426
BA2769	0.0132498197548666	473.1617489837613
BA2772	0.0075180245133381	539.7384782677094
BA2775	0.0131074260994953	648.5124513167023
BA2776	0.0300306416726748	769.1848738319902
BA2778	0.0114708002883922	287.14433526154585
BA2782	0.0080569574621485	474.5404722715589
BA2786	0.0120547945205479	1011.886604767218
BA2787	0.0031254506128334	226.86250737386445
BA2789	0.026472602739726	803.4565375877343
BA2791	0.0192880317231434	639.4991153311827
BA2792	0.0083723864455659	408.0853859478689
BA2798	0.019176279740447	935.1521742599308
BA2801	0.005706560922855	349.97504480592744
BA2802	0.0085291997116077	683.6264816544747
BA2804	0.0094412400865176	589.1414799869747
BA2806	0.0151315789473684	868.6369336387328
BA2808	0.006452775775054	425.3936537895425
BA2809	0.0128298485940879	712.9547438761899
BA2811	0.0167159336697909	508.7931291299637
BA2812	0.006986301369863	448.4029186971104
BA2813	0.0101748377793799	613.6312707424153
BA2814	0.012141312184571	334.1653521949406
BA2816	0.0128983417447728	485.3137568747658
BA2817	0.0133705839942321	532.4415897687683
BA2820	0.0195241528478731	611.9822266669129
BA2821	0.0274477289113193	1216.9972293435787
BA2822	0.0146539293439077	532.0761866055457
BA2824	0.0203262436914203	621.6681175735811
BA2828	0.0093727469358327	445.4201449715729
BA2829	0.0157137707281903	1060.504514715495
BA2830	0.0076910598413842	649.6371946847395
BA2832	0.0145367700072098	541.410501572874
BA2836	0.0119899062725306	418.33426046223207
BA2837	0.0134246575342465	910.3805762477996
BA2839	0.0310886806056236	834.9362443239712
BA2840	0.0080533525594808	456.7017234341489
BA2841	0.0249585436193222	636.2931303349933
BA2842	0.0069790915645277	406.7216215538128
BA2843	0.0125991348233597	439.02641949458433
BA2844	0.0165176640230713	502.48784111918576
BA2846	0.0267069214131218	668.3905105692974
BA2850	0.0103568853640951	611.320338435177
BA2851	0.0235832732516222	1157.1644447100366
BA2852	0.0104434030281182	540.2472897962408
BA2855	0.0142087238644556	528.7024305516028
BA2856	0.0061751982696467	224.16313382978757
BA2858	0.0095602018745493	383.198388705707
BA2860	0.0067519826964671	388.2315959347127
BA2861	0.0149585436193222	428.17022948139663
BA2865	0.0138139870223503	444.2581510655952
BA2866	0.0177505407354001	578.5568209910559
BA2867	0.0181416726748377	796.4225291300186
BA2868	0.022945205479452	697.0414048157604
BA2870	0.0288085796683489	1068.6499770364003
BA2871	0.0117988464311463	744.2553431493517
BA2872	0.011559120403749	388.75641157065394
BA2876	0.0157948810382119	428.5272877642385
BA2879	0.0138914924297043	470.1598503407884
BA2880	0.0088518385003604	512.9222240360892
BA2882	0.0111085075702956	551.9067248376149
BA2883	0.0226189617880317	823.8122230535538
