	NPM1	SRP72
BA2984	8.74503353869987	7.78123623973778
BA2414	9.11835064360706	8.38331776349613
BA2697	7.00782899353321	7.11216085325929
BA2079	6.63915578339387	6.84399982384708
BA2999	8.59529250724368	8.00619097456886
BA2644	8.30909856685695	7.53974354156668
BA2011	8.00619097456886	7.51849616731086
BA2217	9.35176787188011	8.1073163967498
BA2454	9.13720994130471	8.60067902691643
BA2776	9.1872873383188	8.04414638908848
BA2218	9.47302564786274	8.21832699326225
BA2135	9.53000194332933	7.95765939482996
BA2914	7.96905854853838	7.25176192852259
BA2500	7.68775219309565	7.75780436658957
BA2830	9.79819104218496	8.1981158996604
BA2406	8.13176351189552	8.12418859250955
BA3108	9.44528028465592	7.76614073791854
BA2924	8.76595984417136	8.2960419873451
BA2303	7.93352218493006	7.1045805500083
BA2160	8.82110029202306	7.54970729199318
BA2038	8.40194775982719	8.14513423086413
BA2602	8.32893113987774	7.84883391972247
BA2964	7.878761730409	7.44544500262934
BA2898	7.94635895319707	7.42090370210596
BA3003	7.88191833711993	7.24218373520164
BA2111	8.01457218763256	7.53974354156668
BA2827	8.18020169656618	7.37874661141443
BA2912	8.18217944661747	7.43426786956565
BA2437	8.21832699326225	7.44443985803447
BA2283	7.92868137841977	7.43426786956565
BA2057	7.89563066633541	7.4576754868774
BA2633	8.3603866090308	7.46784096415085
BA3034	7.97720455656684	7.27982858914582
BA2607	8.18813169577028	7.14383843051354
BA2761	8.40194775982719	7.47316503302079
BA2795	8.00271116464237	7.36435791540221
BA2182	8.19411260375688	7.17761745050204
BA2152	7.89401548128851	7.38666974161584
BA2381	9.55927298456459	8.30255392241405
BA2931	8.34456564828853	7.73071674907066
BA2040	7.72277870826456	7.29348678773891
BA2590	9.34744684153524	7.81538872947805
BA3195	9.4045391740165	7.71472395965624
BA2516	9.40177461105289	7.40900238551148
BA2353	9.62461563502098	7.77161485169371
BA3036	9.44070228005406	7.71737822348757
BA2971	8.05801802157941	7.12266775163133
BA3410	7.99739906746641	7.88191833711993
BA3118	8.8525926437112	7.79521409988635
BA3206	9.09600320401444	7.32880266743386
BA3202	8.84307877151568	7.72941398094
BA3217	9.33455230246716	7.9609725092348
BA3405	7.61245153291675	7.3212161814573
BA3306	9.27982760161886	7.73595323737682
BA3371	8.91420804405317	7.51413414557592
BA3413	9.33027676031699	7.53734841909383
BA3411	8.88148184246882	7.39139112472357
BA3133	7.55977224878375	7.62560315994889
BA3164	8.77804587995587	7.76749698582267
BA3451	7.44242521067177	6.9462008471637
BA3286	8.50412364911741	7.64511152399424
BA3212	7.50105244518025	7.5032888272442
BA3103	8.7420670822246	7.65393092338473
BA3271	8.92748837970555	7.76466876898383
BA3152	7.13359161213086	7.15713373737018
BA3095	8.61695773628636	7.49901182668185
BA3192	9.4000752436972	8.77199110438686
BA3251	8.7420670822246	7.71347289714959
BA3362	7.81686981561798	7.58879646153396
BA3400	8.15477520582082	7.81538872947805
BA3135	9.25517667754352	7.87732006412967
BA3408	8.42321613548815	7.1702959591528
BA3187	8.65006116973985	7.50436087643108
BA3098	8.77804587995587	7.68775219309565
BA3435	9.4000752436972	7.64135506224067
BA3261	9.06667487040862	7.46997411625783
BA3203	7.19738153999511	7.69790613813162
BA3174	7.89563066633541	7.41208134893628
BA3317	9.90525526471174	7.92045916247849
BA3299	8.268195867683	7.39635430321553
BA3221	7.54085820588458	6.92959860586943
BA3347	7.9003747386446	7.64778904816974
BA3235	6.9965338713589	7.281719536851
BA3126	7.65148276489013	7.46363654414575
BA3380	9.05220627117217	8.21222936163239
BA3089	9.4917929010063	7.80817251236376
BA3109	7.91267481802265	7.09779989974783
BA3114	8.27456876079558	7.22127084858972
BA3418	9.1755941413251	7.97556074370465
BA3245	6.72876764999848	7.46997411625783
BA3085	9.2109276242084	7.83407017601998
BA3128	9.4045391740165	8.16059641320183
BA3423	9.59916222255831	8.0301567645062
BA3173	9.26335235036244	8.23679901175147
BA3171	7.55754763062472	7.62683244469809
BA3277	8.79022656584331	8.00619097456886
BA3210	8.24301678047805	7.53405377993628
BA3157	10.1099887487995	8.22240857358487
BA3433	8.7214605815193	7.61949698331246
BA3322	8.25554427681065	7.05292631391108
BA3374	8.92415796681604	7.34734759358865
BA3450	8.63894476137773	7.93658206656699
BA3167	9.04501990946176	7.62080780455831
BA3269	7.80392510487274	7.42928783450574
BA3110	9.20870997646767	8.03884116383771
BA3156	9.73079295605488	7.98220941306141
BA3226	9.55927298456459	7.77161485169371
BA3421	8.25344779136567	7.5098325342709
BA3232	9.03786515454843	7.73200199894925
BA3289	7.61833712147791	6.94294359338222
BA3430	7.74666982029682	7.4576754868774
BA3145	8.61695773628636	8.05626383418968
BA3399	7.84567146798846	6.68537166285797
BA3449	9.45447558148811	7.96260346447077
BA3384	8.824221356442	7.73332620572976
BA3427	7.21134659078952	7.19145743010941
BA3163	7.08148396341999	7.44741351807287
BA3158	9.2592593958878	8.0044307958278
BA3436	9.67679810675791	7.66015357873811
BA3154	7.76749698582267	7.3445927403943
BA3162	8.60337970015667	7.33796606665151
BA3352	9.67313133431446	7.78123623973778
BA3084	8.78717245605116	7.72809482559201
BA3149	7.8210975174081	7.50861653894833
BA3169	8.24301678047805	8.03369173116136
BA3180	9.11460476788528	7.81969894849543
BA3255	8.64449262965366	7.54085820588458
BA3438	9.3735473533766	8.16840116234166
BA3345	7.67751428719864	7.139939970706
BA3403	8.41372261793503	7.48163507084779
BA3431	7.86519796261888	7.44041046246091
BA3181	8.39960495989321	7.23036606098158
BA3341	7.99413751864958	7.25611345915688
BA3191	8.36494157515656	7.24390327644845
BA3197	8.97829037472744	7.50436087643108
BA3448	9.08494318011795	8.17822710034905
BA3453	8.80867768640892	7.76884228347361
BA3406	8.79635277497105	7.79800939146032
