	ID_sample	TypeMutation	ExpressionGene
569	BA3375	mut30	6.90161368403515
570	BA3376	mut30	7.06885426902192
571	BA3379	mut30	7.1045805500083
572	BA3381	mut30	6.57305438035027
573	BA3384	mut30	7.13756401534747
574	BA3385	mut30	6.72296106322052
575	BA3386	mut30	7.1702959591528
576	BA3388	mut30	5.34047969998426
577	BA3390	mut30	5.34118303710199
578	BA3394	mut30	6.49051077750921
579	BA3395	mut30	6.09600230844392
580	BA3399	mut30	4.65440830398242
581	BA3400	mut30	5.36867301215282
582	BA3403	mut30	6.65017189848331
583	BA3405	mut30	6.90296785302656
584	BA3406	mut30	6.32868471625961
585	BA3407	mut30	5.19161041350932
586	BA3408	mut30	5.26850269480577
587	BA3411	mut30	6.86587981932563
588	BA3412	mut30	6.63170598568284
589	BA3413	mut30	7.30313040589717
590	BA3415	mut30	3.13934917227227
591	BA3416	mut30	7.48382605156173
592	BA3417	mut30	6.3282334089858
593	BA3421	mut30	5.49361387353109
594	BA3423	mut30	5.33468449100155
595	BA3427	mut30	5.79678897670541
596	BA3430	mut30	5.35117907046834
597	BA3431	mut30	4.44371751516999
598	BA3433	mut30	4.88780360986739
599	BA3434	mut30	6.56532526138634
600	BA3435	mut30	6.60792383481337
601	BA3436	mut30	7.51191595859432
602	BA3438	mut30	6.61867340597626
603	BA3445	mut30	5.31432060422587
604	BA3446	mut30	6.00513768153823
605	BA3447	mut30	6.28190411591636
606	BA3448	mut30	7.38257507273258
607	BA3449	mut30	7.00642277827321
608	BA3450	mut30	4.21481719565255
609	BA3451	mut30	6.45552187143232
610	BA3452	mut30	4.62499001767521
611	BA3453	mut30	5.0932101529727
612	BA3454	mut30	7.2925108116234
613	BA3037	NonMut	4.29267969728308
614	BA2488	NonMut	6.28733698625511
615	BA2947	NonMut	7.0549889553605
616	BA2032	NonMut	5.6834289695156
617	BA2564	NonMut	6.33600766569699
618	BA2841	NonMut	5.64578665380384
619	BA2357	NonMut	5.73934974436077
620	BA2148	NonMut	4.5255236296775
621	BA2100	NonMut	4.13049769125671
622	BA2681	NonMut	6.47571845442986
623	BA2375	NonMut	7.07994856692804
624	BA2808	NonMut	0.227105256821812
625	BA2567	NonMut	4.61468245344628
626	BA2956	NonMut	4.65298561876012
627	BA2992	NonMut	6.00599295147661
628	BA2595	NonMut	5.64956635618765
629	BA2122	NonMut	4.6788765540465
630	BA2080	NonMut	5.36939086109841
631	BA3273	NonMut	2.90245258168608
632	BA2593	NonMut	6.6263105848456
633	BA2709	NonMut	6.1833788007571
634	BA2836	NonMut	4.58619939617121
635	BA2714	NonMut	6.82188197814107
636	BA2440	NonMut	2.38194954250065
637	BA2532	NonMut	4.89906895806818
638	BA2000	NonMut	7.17116786854616
639	BA2035	NonMut	7.1288906231397
640	BA2355	NonMut	4.41532323585857
641	BA2502	NonMut	6.66232694076894
642	BA2972	NonMut	6.65295694076347
643	BA2271	NonMut	6.57195133441217
644	BA2242	NonMut	6.34412105865143
645	BA2132	NonMut	5.44826154156483
646	BA2639	NonMut	7.29348678773891
647	BA2786	NonMut	6.6268478891503
648	BA2004	NonMut	6.59256890621003
649	BA2621	NonMut	5.39605181278963
650	BA2133	NonMut	4.62677440639043
651	BA2288	NonMut	4.81163956900901
652	BA2903	NonMut	3.22599710926517
653	BA2473	NonMut	5.44754405856203
654	BA2037	NonMut	7.61833712147791
655	BA3009	NonMut	6.28051995140614
656	BA2261	NonMut	3.09816416471119
657	BA2469	NonMut	3.65217826413879
658	BA2723	NonMut	3.80561258862819
659	BA2088	NonMut	5.58306894890271
660	BA2492	NonMut	4.23241801519581
661	BA2175	NonMut	4.04029489753007
662	BA2507	NonMut	6.68646890696546
663	BA2218	NonMut	5.08617132532278
664	BA2406	NonMut	3.88038335005271
665	BA3202	NonMut	6.21363363803942
666	BA3135	NonMut	5.35229119892718
667	BA3203	NonMut	1.68790567529799
668	BA3317	NonMut	7.4372988989966
669	BA3380	NonMut	5.39458251066191
670	BA3418	NonMut	5.61064071002875
671	BA3167	NonMut	6.13077087437702
672	BA3154	NonMut	4.17448805896105
673	BA3319	NonMut	6.20186257831003
674	BA3240	NonMut	6.90492530830845
675	BA3422	NonMut	5.38079659978033
676	BA3194	NonMut	7.32401244462143
677	BA3123	NonMut	6.52477924694933
